x;y
1;NA
2;NA
3;NA
4;NA
5;NA
6;NA
7;NA
8;NA
9;NA
10;NA
11;NA
12;NA
13;1514.845777
14;1511.345572
15;1507.845368
16;1504.345164
17;1500.84496
18;1497.344756
19;1493.844552
20;1490.344347
21;1486.844143
22;1483.343939
23;1479.843735
24;1476.343531
25;1472.843327
26;1469.343122
27;1465.842918
28;1462.342714
29;1458.84251
30;1455.342306
31;1451.842101
32;1448.341897
33;1444.841693
34;1441.341489
35;1437.841285
36;1434.341081
37;1430.840876
38;1427.340672
39;1423.840468
40;1420.340264
41;1416.84006
42;1413.339855
43;1409.839651
44;1406.339447
45;1402.839243
46;1399.339039
47;1395.838835
48;1392.33863
49;1388.838426
50;1385.338222
51;1381.838018
52;1378.337814
53;1374.83761
54;1371.337405
55;1367.837201
56;1364.336997
57;1360.836793
58;1357.336589
59;1353.836384
60;1350.33618
61;1346.835976
62;1343.335772
63;1339.835568
64;1336.335364
65;1332.835159
66;1329.334955
67;1325.834751
68;1322.334547
69;1318.834343
70;1315.334139
71;1311.833934
72;1308.33373
73;1304.833526
74;1301.333322
75;1297.833118
76;1294.332913
77;1290.832709
78;1287.332505
79;1283.832301
80;1280.332097
81;1276.831893
82;1273.331688
83;1269.831484
84;1266.33128
85;1262.831076
86;1259.330872
87;1255.830668
88;1252.330463
89;1248.830259
90;1245.330055
91;1241.829851
92;1238.329647
93;1234.829442
94;1231.329238
95;1227.829034
96;1224.32883
97;1220.828626
98;1217.328422
99;1213.828217
100;1210.328013
101;1206.827809
102;1203.327605
103;1199.827401
104;1196.327197
105;1192.826992
106;1189.326788
107;1185.826584
108;1182.32638
109;1178.826176
110;1175.325971
111;1171.825767
112;1168.325563
113;1164.825359
114;1161.325155
115;1157.824951
116;1154.324746
117;1150.824542
118;1147.324338
119;1143.824134
120;1140.32393
121;1136.823726
122;1133.323521
123;-13043.29387
124;-10946.49406
125;-8849.694246
126;-6752.894432
127;-4656.094618
128;-2559.294804
129;-462.4949901
