x;y
1;1511.345572
2;1507.845368
3;1504.345164
4;1500.84496
5;1497.344756
6;1493.844552
7;1490.344347
8;1486.844143
9;1483.343939
10;1479.843735
11;1476.343531
12;1472.843327
13;1469.343122
14;1465.842918
15;1462.342714
16;1458.84251
17;1455.342306
18;1451.842101
19;1448.341897
20;1444.841693
21;1441.341489
22;1437.841285
23;1434.341081
24;1430.840876
25;1427.340672
26;1423.840468
27;1420.340264
28;1416.84006
29;1413.339855
30;1409.839651
31;1406.339447
32;1402.839243
33;1399.339039
34;1395.838835
35;1392.33863
36;1388.838426
37;1385.338222
38;1381.838018
39;1378.337814
40;1374.83761
41;1371.337405
42;1367.837201
43;1364.336997
44;1360.836793
45;1357.336589
46;1353.836384
47;1350.33618
48;1346.835976
49;1343.335772
50;1339.835568
51;1336.335364
52;1332.835159
53;1329.334955
54;1325.834751
55;1322.334547
56;1318.834343
57;1315.334139
58;1311.833934
59;1308.33373
60;1304.833526
61;1301.333322
62;1297.833118
63;1294.332913
64;1290.832709
65;1287.332505
66;1283.832301
67;1280.332097
68;1276.831893
69;1273.331688
70;1269.831484
71;1266.33128
72;1262.831076
73;1259.330872
74;1255.830668
75;1252.330463
76;1248.830259
77;1245.330055
78;1241.829851
79;1238.329647
80;1234.829442
81;1231.329238
82;1227.829034
83;1224.32883
84;1220.828626
85;1217.328422
86;1213.828217
87;1210.328013
88;1206.827809
89;1203.327605
90;1199.827401
91;1196.327197
92;1192.826992
93;1189.326788
94;1185.826584
95;1182.32638
96;1178.826176
97;1175.325971
98;1171.825767
99;1168.325563
100;1164.825359
101;1161.325155
102;1157.824951
103;1154.324746
104;1150.824542
105;1147.324338
106;1143.824134
107;1140.32393
108;1136.823726
109;1133.323521
110;1129.823317
111;1126.323113
112;1122.822909
113;1119.322705
114;1115.8225
115;1112.322296
116;1108.822092
117;1105.321888
118;1101.821684
119;1098.32148
120;1094.821275
121;1091.321071
122;1087.820867
123;1084.320663
124;1080.820459
125;1077.320255
126;1073.82005
127;1070.319846
128;1066.819642
129;1063.319438
